algo,rho,iters,res_norm,train_time,mv_mult,k,min_size,max_size,block_size,tol,accuracy,nfold,extra_time
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4465455,70,2,4,8,1,1e-06,0.846,8,14.2626513
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3975053,102,2,4,8,2,1e-06,0.846,8,14.2626513
FDA subspace,-1,19,7.13334114230166e-07,0.1467157,22,2,4,8,1,1e-06,0.846,9,14.2894315
FDA subspace,-1,10,5.35116873419701e-07,0.0789076,22,2,4,8,2,1e-06,0.846,9,14.2894315
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1555298,25,2,4,8,1,1e-06,0.846,9,14.2894315
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0865562,22,2,4,8,2,1e-06,0.846,9,14.2894315
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4323293,70,2,4,8,1,1e-06,0.846,9,14.2894315
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3919379,102,2,4,8,2,1e-06,0.846,9,14.2894315
FDA subspace,-1,19,7.13334114230166e-07,0.1944023,22,2,4,8,1,1e-06,0.846,10,14.6745087
FDA subspace,-1,10,5.35116873419701e-07,0.0829351,22,2,4,8,2,1e-06,0.846,10,14.6745087
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1604414,25,2,4,8,1,1e-06,0.846,10,14.6745087
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0804087,22,2,4,8,2,1e-06,0.846,10,14.6745087
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4402464,70,2,4,8,1,1e-06,0.846,10,14.6745087
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.4056569,102,2,4,8,2,1e-06,0.846,10,14.6745087
FDA subspace,-1,19,7.13334114230166e-07,0.1362986,22,2,4,8,1,1e-06,0.846,11,14.7985108
FDA subspace,-1,10,5.35116873419701e-07,0.0854176,22,2,4,8,2,1e-06,0.846,11,14.7985108
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1541696,25,2,4,8,1,1e-06,0.846,11,14.7985108
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0798862,22,2,4,8,2,1e-06,0.846,11,14.7985108
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4576356,70,2,4,8,1,1e-06,0.846,11,14.7985108
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.4094046,102,2,4,8,2,1e-06,0.846,11,14.7985108
FDA subspace,-1,19,7.13334114230166e-07,0.1630205,22,2,4,8,1,1e-06,0.846,12,14.1178099
FDA subspace,-1,10,5.35116873419701e-07,0.0901033,22,2,4,8,2,1e-06,0.846,12,14.1178099
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1564689,25,2,4,8,1,1e-06,0.846,12,14.1178099
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0883692,22,2,4,8,2,1e-06,0.846,12,14.1178099
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4521699,70,2,4,8,1,1e-06,0.846,12,14.1178099
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3880307,102,2,4,8,2,1e-06,0.846,12,14.1178099
FDA subspace,-1,19,7.13334114230166e-07,0.1715258,22,2,4,8,1,1e-06,0.846,13,14.4902949
FDA subspace,-1,10,5.35116873419701e-07,0.0857052,22,2,4,8,2,1e-06,0.846,13,14.4902949
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1600322,25,2,4,8,1,1e-06,0.846,13,14.4902949
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0791299,22,2,4,8,2,1e-06,0.846,13,14.4902949
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4397269,70,2,4,8,1,1e-06,0.846,13,14.4902949
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3992373,102,2,4,8,2,1e-06,0.846,13,14.4902949
FDA subspace,-1,19,7.13334114230166e-07,0.154388,22,2,4,8,1,1e-06,0.846,14,14.9615872
FDA subspace,-1,10,5.35116873419701e-07,0.0848498,22,2,4,8,2,1e-06,0.846,14,14.9615872
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1476135,25,2,4,8,1,1e-06,0.846,14,14.9615872
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0789535,22,2,4,8,2,1e-06,0.846,14,14.9615872
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4303836,70,2,4,8,1,1e-06,0.846,14,14.9615872
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3942258,102,2,4,8,2,1e-06,0.846,14,14.9615872
FDA subspace,-1,19,7.13334114230166e-07,0.1297942,22,2,4,8,1,1e-06,0.846,15,14.4543943
FDA subspace,-1,10,5.35116873419701e-07,0.1027874,22,2,4,8,2,1e-06,0.846,15,14.4543943
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1522088,25,2,4,8,1,1e-06,0.846,15,14.4543943
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0793394,22,2,4,8,2,1e-06,0.846,15,14.4543943
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4508991,70,2,4,8,1,1e-06,0.846,15,14.4543943
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3961772,102,2,4,8,2,1e-06,0.846,15,14.4543943
FDA subspace,-1,19,7.13334114230166e-07,0.1370528,22,2,4,8,1,1e-06,0.846,16,14.3283685
FDA subspace,-1,10,5.35116873419701e-07,0.086184,22,2,4,8,2,1e-06,0.846,16,14.3283685
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1737188,25,2,4,8,1,1e-06,0.846,16,14.3283685
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0876713,22,2,4,8,2,1e-06,0.846,16,14.3283685
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4349481,70,2,4,8,1,1e-06,0.846,16,14.3283685
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3842876,102,2,4,8,2,1e-06,0.846,16,14.3283685
FDA subspace,-1,19,7.13334114230166e-07,0.1277024,22,2,4,8,1,1e-06,0.846,17,13.8650043
FDA subspace,-1,10,5.35116873419701e-07,0.0825559,22,2,4,8,2,1e-06,0.846,17,13.8650043
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1592301,25,2,4,8,1,1e-06,0.846,17,13.8650043
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0870426,22,2,4,8,2,1e-06,0.846,17,13.8650043
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4349431,70,2,4,8,1,1e-06,0.846,17,13.8650043
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3951032,102,2,4,8,2,1e-06,0.846,17,13.8650043
FDA subspace,-1,19,7.13334114230166e-07,0.167479,22,2,4,8,1,1e-06,0.846,18,14.2277086
FDA subspace,-1,10,5.35116873419701e-07,0.0880955,22,2,4,8,2,1e-06,0.846,18,14.2277086
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1599236,25,2,4,8,1,1e-06,0.846,18,14.2277086
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0791135,22,2,4,8,2,1e-06,0.846,18,14.2277086
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4279948,70,2,4,8,1,1e-06,0.846,18,14.2277086
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3919317,102,2,4,8,2,1e-06,0.846,18,14.2277086
FDA subspace,-1,19,7.13334114230166e-07,0.166567,22,2,4,8,1,1e-06,0.846,19,14.355349
