algo,rho,iters,res_norm,train_time,mv_mult,k,min_size,max_size,block_size,tol,accuracy,nfold,extra_time
FDA subspace,-1,19,7.13334114230166e-07,0.1551552,22,2,4,8,1,1e-06,0.846,40,14.1505432
FDA subspace,-1,10,5.35116873419701e-07,0.085199,22,2,4,8,2,1e-06,0.846,40,14.1505432
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1581463,25,2,4,8,1,1e-06,0.846,40,14.1505432
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.080949,22,2,4,8,2,1e-06,0.846,40,14.1505432
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4431015,70,2,4,8,1,1e-06,0.846,40,14.1505432
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.4053538,102,2,4,8,2,1e-06,0.846,40,14.1505432
FDA subspace,-1,19,7.13334114230166e-07,0.1368463,22,2,4,8,1,1e-06,0.846,41,14.2179369
FDA subspace,-1,10,5.35116873419701e-07,0.0788396,22,2,4,8,2,1e-06,0.846,41,14.2179369
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1764452,25,2,4,8,1,1e-06,0.846,41,14.2179369
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0866037,22,2,4,8,2,1e-06,0.846,41,14.2179369
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.420102,70,2,4,8,1,1e-06,0.846,41,14.2179369
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3871667,102,2,4,8,2,1e-06,0.846,41,14.2179369
FDA subspace,-1,19,7.13334114230166e-07,0.1327997,22,2,4,8,1,1e-06,0.846,42,14.0393861
FDA subspace,-1,10,5.35116873419701e-07,0.0789101,22,2,4,8,2,1e-06,0.846,42,14.0393861
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.2344227,25,2,4,8,1,1e-06,0.846,42,14.0393861
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0811949,22,2,4,8,2,1e-06,0.846,42,14.0393861
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4459699,70,2,4,8,1,1e-06,0.846,42,14.0393861
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3981743,102,2,4,8,2,1e-06,0.846,42,14.0393861
FDA subspace,-1,19,7.13334114230166e-07,0.1460181,22,2,4,8,1,1e-06,0.846,43,14.541559
FDA subspace,-1,10,5.35116873419701e-07,0.0882352,22,2,4,8,2,1e-06,0.846,43,14.541559
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1535951,25,2,4,8,1,1e-06,0.846,43,14.541559
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0845987,22,2,4,8,2,1e-06,0.846,43,14.541559
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.424448,70,2,4,8,1,1e-06,0.846,43,14.541559
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3875637,102,2,4,8,2,1e-06,0.846,43,14.541559
FDA subspace,-1,19,7.13334114230166e-07,0.1297553,22,2,4,8,1,1e-06,0.846,44,14.1290436
FDA subspace,-1,10,5.35116873419701e-07,0.0820845,22,2,4,8,2,1e-06,0.846,44,14.1290436
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1588266,25,2,4,8,1,1e-06,0.846,44,14.1290436
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0800121,22,2,4,8,2,1e-06,0.846,44,14.1290436
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4178918,70,2,4,8,1,1e-06,0.846,44,14.1290436
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3993147,102,2,4,8,2,1e-06,0.846,44,14.1290436
FDA subspace,-1,19,7.13334114230166e-07,0.1441912,22,2,4,8,1,1e-06,0.846,45,14.4542061
FDA subspace,-1,10,5.35116873419701e-07,0.0795429,22,2,4,8,2,1e-06,0.846,45,14.4542061
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1504764,25,2,4,8,1,1e-06,0.846,45,14.4542061
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.087085,22,2,4,8,2,1e-06,0.846,45,14.4542061
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.451511,70,2,4,8,1,1e-06,0.846,45,14.4542061
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3821585,102,2,4,8,2,1e-06,0.846,45,14.4542061
FDA subspace,-1,19,7.13334114230166e-07,0.1711918,22,2,4,8,1,1e-06,0.846,46,16.5759184
FDA subspace,-1,10,5.35116873419701e-07,0.0877546,22,2,4,8,2,1e-06,0.846,46,16.5759184
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1709968,25,2,4,8,1,1e-06,0.846,46,16.5759184
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0901714,22,2,4,8,2,1e-06,0.846,46,16.5759184
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4617608,70,2,4,8,1,1e-06,0.846,46,16.5759184
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.4192941,102,2,4,8,2,1e-06,0.846,46,16.5759184
FDA subspace,-1,19,7.13334114230166e-07,0.167397,22,2,4,8,1,1e-06,0.846,47,14.233495
FDA subspace,-1,10,5.35116873419701e-07,0.0882207,22,2,4,8,2,1e-06,0.846,47,14.233495
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1665887,25,2,4,8,1,1e-06,0.846,47,14.233495
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0874976,22,2,4,8,2,1e-06,0.846,47,14.233495
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4337989,70,2,4,8,1,1e-06,0.846,47,14.233495
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3936594,102,2,4,8,2,1e-06,0.846,47,14.233495
FDA subspace,-1,19,7.13334114230166e-07,0.1324407,22,2,4,8,1,1e-06,0.846,48,14.6189916
FDA subspace,-1,10,5.35116873419701e-07,0.0784267,22,2,4,8,2,1e-06,0.846,48,14.6189916
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1888454,25,2,4,8,1,1e-06,0.846,48,14.6189916
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0819339,22,2,4,8,2,1e-06,0.846,48,14.6189916
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4312603,70,2,4,8,1,1e-06,0.846,48,14.6189916
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.4296038,102,2,4,8,2,1e-06,0.846,48,14.6189916
FDA subspace,-1,19,7.13334114230166e-07,0.1378687,22,2,4,8,1,1e-06,0.846,49,14.1607466
FDA subspace,-1,10,5.35116873419701e-07,0.0835801,22,2,4,8,2,1e-06,0.846,49,14.1607466
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.150318,25,2,4,8,1,1e-06,0.846,49,14.1607466
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0825653,22,2,4,8,2,1e-06,0.846,49,14.1607466
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4291196,70,2,4,8,1,1e-06,0.846,49,14.1607466
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3973831,102,2,4,8,2,1e-06,0.846,49,14.1607466
FDA subspace,-1,19,7.13334114230166e-07,0.1467927,22,2,4,8,1,1e-06,0.846,50,18.3660858
FDA subspace,-1,10,5.35116873419701e-07,0.1289092,22,2,4,8,2,1e-06,0.846,50,18.3660858
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1614095,25,2,4,8,1,1e-06,0.846,50,18.3660858
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.087792,22,2,4,8,2,1e-06,0.846,50,18.3660858
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4480731,70,2,4,8,1,1e-06,0.846,50,18.3660858
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.4270099,102,2,4,8,2,1e-06,0.846,50,18.3660858
